Computer Repair Times,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample,Repair Time (Days),Dummy ,,,,,,,,,,,
1,18,0,Sample,,Repair Time ( Days ),,,,,,,,
2,15,0,,,,,,,,,,,
3,17,,Mean,125.5,Mean,14.912,,,,,,,
4,9,,Standard Error,4.573474245,Standard Error,0.376840895,,,,,,,
5,37,,Median,125.5,Median,14,,,,,,,
6,15,,Mode,#N/A,Mode,15,,,,,,,
7,8,,Standard Deviation,72.31297717,Standard Deviation,5.958377721,,,,,,,
8,29,,Sample Variance,5229.166667,Sample Variance,35.50226506,,,,,,,
9,10,,Kurtosis,-1.2,Kurtosis,4.079023409,,,,,,,
10,14,,Skewness,5.39362E-17,Skewness,1.695275575,,,,,,,
11,17,,Range,249,Range,35,,,,,,,
12,12,,Minimum,1,Minimum,5,,,,,,,
13,13,,Maximum,250,Maximum,40,,,,,,,
14,12,,Sum,31375,Sum,3728,,,,,,,
15,11,,Count,250,Count,250,,,,,,,
16,14,,,,,,,,,,,,
17,13,,,,,,,,,,,,
18,16,,,,,,,,,,,,
19,13,,,,,,,,,,,,
20,15,,Test to determine whether the mean repair time of the machines is significantly different from the target mean of 14.912 days,,,,,,,,,,
21,16,,Hypothesis,,,,,,,,,,
22,12,,H0: Mean= 14,,,,,,,,,,
23,34,,H1= Mean ? 14,,,,,,,,,,
24,29,,,,,,,,,,,,
25,13,,,,,,,,,,,,
26,19,,,,,,,,,,,,
27,12,,,,,,,,,,,,
28,15,,t-Test: Paired Two Sample for Means,,,,,,,,,,
29,16,,,,,,,,,,,,
30,14,,,Repair Time (Days),Sample,,Repair Time (Days),,,,,,
31,15,,Mean,14.912,125.5,,,,,,,,
32,7,,Variance,35.50226506,5229.166667,,Mean,14.912,,,,,
33,40,,Observations,250,250,,Standard Error,0.376840895,,,,,
34,16,,Pearson Correlation,0.003178416,,,Median,14,,,,,
35,11,,Hypothesized Mean Difference,15,,,Mode,15,,,,,
36,11,,df,249,,,Standard Deviation,5.958377721,,,,,
37,10,,t Stat,-27.37446351,,,Sample Variance,35.50226506,,,,,
38,13,,P(T<=t) one-tail,2.39661E-77,,,Kurtosis,4.079023409,,,,,
39,14,,t Critical one-tail,1.650996152,,,Skewness,1.695275575,,,,,
40,9,,P(T<=t) two-tail,4.79322E-77,,,Range,35,,,,,
41,18,,t Critical two-tail,1.969536868,,,Minimum,5,,,,,
42,8,,,,,,Maximum,40,,,,,
43,13,,,,,,Sum,3728,,,,,
44,8,,,,,,Count,250,,,,,
45,10,,,,,,Confidence Level(95.0%),0.742202036,,,,,
46,13,,,,,,Upper Cl Level(95) %  ,15.65420204,,,,,
47,16,,,,,,Lower CL level (95) %,14.16979796,,,,,
48,9,,,,,,,,,,,,
49,9,,,,,,,,,,,,
50,12,,,,,,,,,,,,
51,16,,,,,,,,,,,,
52,9,,,,,,,,,,,,
53,15,,,,,,,,,,,,
54,17,,,,,,,,,,,,
55,38,,,,,,,,,,,,
56,11,,,,,,,,,,,,
57,15,,,,,,,,,,,,
58,16,,,,,,,,,,,,
59,10,,,,,,,,,,,,
60,9,,,,,,,,,,,,
61,25,,,,,,,,,,,,
62,15,,,,,,,,,,,,
63,7,,,,,,,,,,,,
64,11,,,,,,,,,,,,
65,19,,,,,,,,,,,,
66,13,,,,,,,,,,,,
67,12,,,,,,,,,,,,
68,20,,,,,,,,,,,,
69,12,,,,,,,,,,,,
70,13,,,,,,,,,,,,
71,11,,,,,,,,,,,,
72,8,,,,,,,,,,,,
73,14,,,,,,,,,,,,
74,10,,,,,,,,,,,,
75,12,,,,,,,,,,,,
76,15,,,,,,,,,,,,
77,17,,,,,,,,,,,,
